0101||0|Live horses, asses, mules and hinnies:|||||
1702.60.40||2|Other||5.1%|Free (A,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 2.5% (AU)|20%|
1702.60.40|20|3|Syrup|kg||||
1702.60.40|90|3|Other|kg||||
1702.90||1|Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 percent by weight of fructose:|||||
||2|Derived from sugar cane or sugar beets:|||||
||3|Containing soluble non-sugar solids (excluding any foreignsubstances, including but not limited to molasses, that may have been added to or developed in the product) equal to 6 percent or less by weight of the total soluble solids:|||||
1702.90.05|00|4|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|3.6606¢/kg of total sugars|Free (A,AU,BH,CA,CL,CO,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.1¢/kg of total sugars (KR)|6.58170¢/kg of total sugars|
1702.90.10|00|4|Described in additional U.S. note 5 to this chapterand entered pursuant to its provisions|kg|3.6606¢/kg of total sugars|Free (A*,BH,CA,CL,CO,E*,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.1¢/kg of total sugars (KR) See 9822.05.15 (P+)|6.58170¢/kg of total sugars|
1702.90.20|00|4|Other|kg|35.74¢/kg|Free (JO,MX) 28.5¢/kg (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.15 (SG) See 9911.17.05, 9911.17.15 (CL) See 9912.17.05, 9912.17.15 (MA) See 9914.17.05, 9914.17.15 (BH) See 9916.17.05, 9916.17.15 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|42.05¢/kg|<desc> See subheadings 9904.17.08-9904.17.16.
||3|Other:|||||
1702.90.35|00|4|Invert molasses|liters kg|0.35¢/liter|Free (A*,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.1¢/liter (AU)|1.8¢/liter|
1702.90.40|00|4|Other|liters kg|0.35¢/liter|Free (A*,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.1¢/liter (AU)|1.8¢/liter|
||2|Other:|||||
1702.90.52|00|3|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|6%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 3.6% (KR)|20%|
||3|Other:|||||
||4|Blended syrups described in additional U.S. note 4 to chapter 17:|||||
1702.90.54|00|5|Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions|kg|6%|Free (OM,PE)|20%|
1702.90.58|00|5|Other|kg|33.9¢/kg of total sugars + 5.1%|Free (JO,MX) 27.1¢/kg of total sugars +4% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.30 (SG) See 9911.17.05, 9911.17.30 (CL) See 9912.17.05, 9912.17.30 (MA) See 9914.17.05, 9914.17.30 (BH) See 9916.17.05, 9916.17.30 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|39.9¢/kg of total sugars + 6%|<desc> See subheadings 9904.17.66-9904.17.84 
||4|Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:|||||
1702.90.64|00|5|Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions|kg|6%|Free (OM,PE)|20%|
1702.90.68|00|5|Other|kg|33.9¢/kg + 5.1%|Free (JO,MX) 4% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.20 (SG) See 9911.17.05, 9911.17.20 (CL) See 9912.17.05, 9912.17.20 (MA) See 9914.17.05, 9914.17.20 (BH) See 9916.17.05, 9916.17.20 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|39.9¢/kg + 6%|<desc> See subheadings 9904.17.17-9904.17.48.
1702.90.90|00|4|Other|kg|5.1%|Free (A,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.5% (AU) 4% (KR)|20%|
1703||0|Molasses resulting from the extraction or refining of sugar:|||||
1703.10||1|Cane molasses:|||||
1703.10.30|00|2|Imported for (a) the commercial extraction of sugar or (b) human consumptionliters|0.35¢/liter|Free (A,BH,CA,|1.8¢/liter CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.1¢/liter (AU)||<desc> Report liters of dried molasses on the basis of 0.72 kg/liter.
1703.10.50|00|2|Other|liters kg ttl sug|0.01¢/kg of total sugars|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|0.07¢/kg of total sugars|<uq> Report liters of dried molasses on the basis of 0.72 kg/liter.
1703.90||1|Other:|||||
1703.90.30|00|2|Imported for (a) the commercial extraction of sugar or (b) human consumption|liters|0.35¢/liter|Free (A*,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.1¢/liter (AU)|1.8¢/liter|<uq> Report liters of dried molasses on the basis of 0.72 kg/liter.
1703.90.50|00|2|Other|liters kg ttl sug|0.01¢/kg of total sugars|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|0.07¢/kg of total sugars|<uq> Report liters of dried molasses on the basis of 0.72 kg/liter.
1704||0|Sugar confectionery (including white chocolate), not con- taining cocoa:|||||
1704.10.00|00|1|Chewing gum, whether or not sugar-coated|kg|4%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20%|
1704.90||1|Other:|||||
||2|Confections or sweetmeats ready for consumption:|||||
1704.90.10|00|3|Candied nuts|kg|4.5%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
||3|Other:|||||
1704.90.25|00|4|Cough drops|kg|Free||30%|
1704.90.35||4|Other||5.6%|Free (A,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG) 0.5% (AU)|40%|
||5|Put up for retail sale:|||||
1704.90.35|20|6|Containing peanuts, peanut butter or peanut paste|kg||||
1704.90.35|50|6|Other|kg||||
1704.90.35|90|5|Other|kg||||
||2|Other:|||||
1704.90.52|00|3|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|12.2%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 8.7% (KR)|12.2%|
||3|Other:|||||
||4|Dairy products described in additional U.S. note 1 to chapter 4:|||||
1704.90.54|00|5|Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions|kg kg cmsc|12.2%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,OM,P,PA,PE,SG) 7.3% (KR)|12.2%|
1704.90.58|00|5|Other|kg kg cmsc|40¢/kg + 10.4%|Free (JO,MX) 34.6¢/kg + 9% (PA) 40¢/kg + 10.4% (P)(s) See 9910.04.50, 9910.04.61 (SG) See 9911.04.30, 9911.04.39 (CL) See 9920.04.10, 9920.04.19 (KR) See 9912.04.30, 9912.04.41 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.41 (BH) See 9915.04.30, 9915.04.41, 9915.04.65 (P+) See 9916.04.30, 9916.04.41 (OM) See 9917.04.20, 9917.04.29 (PE) See 9918.04.60, 9918.04.69 (CO)|47.4¢/kg + 12.2%|<desc> See subheadings 9904.04.50-9904.05.01.
||4|Other:|||||
||5|Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:|||||
1704.90.64|00|6|Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions|kg|12.2%|Free (OM,PE)|12.2%|
1704.90.68|00|6|Other Articles containing over 10 percent by dry weight of sugar described in additional U.S. note 3 to chapter 17:|kg|40¢/kg + 10.4%|Free (JO,MX) 32¢/kg +8.3% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.35 (SG) See 9911.17.05, 9911.17.35 (CL) See 9912.17.05, 9912.17.35 (MA) See 9914.17.05, 9914.17.35 (BH) See 9916.17.05, 9916.17.35 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|47.4¢/kg + 12.2%|<desc> See subheadings 9904.17.17-9904.17.48.
1704.90.74|00|6|Described in additional U.S. note 8 to this chapter and entered pursuant to its provisions|kg|12.2%|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,MA,OM,P,PA,PE,SG) 7.3% (KR)|12.2%|
1704.90.78|00|6|Other|kg|40¢/kg + 10.4%|Free (JO,MX) 32¢/kg + 8.3% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.35 (SG) See 9911.17.05, 9911.17.35 (CL) See 9912.17.05, 9912.17.35 (MA) See 9914.17.05, 9914.17.35 (BH) See 9916.17.05, 9916.17.35 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|47.4¢/kg + 12.2%|<desc> See subheadings 9904.17.49-9904.17.65.
1704.90.90|00|5|Other|kg|10.4%|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,MX,OM,P,PA,PE,SG) 1% (AU) 2% (MA) 6.2% (KR)|12.2%|
1801.00.00|00|0|Cocoa beans, whole or broken, raw or roasted|kg|Free||Free|
1802.00.00|00|0|Cocoa shells, husks, skins and other cocoa waste|kg|Free||10%|
1803||0|Cocoa paste, whether or not defatted:|||||
1803.10.00|00|1|Not defatted|kg|Free||6.6¢/kg|
1803.20.00|00|1|Wholly or partly defatted|kg|0.2¢/kg|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|6.6¢/kg|
1804.00.00|00|0|Cocoa butter, fat and oil|kg|Free||25%|
1805.00.00|00|0|Cocoa powder, not containing added sugar or other sweetening matter|kg|0.52¢/kg|Free(A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|6.6¢/kg|
1806||0|Chocolate and other food preparations containing cocoa:|||||
1806.10||1|Cocoa powder, containing added sugar or other sweetening matter:|||||
||2|Containing less than 65 percent by weight of sugar:|||||
1806.10.05|00|3|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|Free||40%|
1806.10.10|00|3|Described in additional U.S. note 1 to this chapter and entered pursuant to its provisions|kg|Free||40%|
1806.10.15|00|3|Other|kg|21.7¢/kg|Free (JO,MX) 17.3¢/kg (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.40 (SG) See 9911.17.05, 9911.17.40 (CL) See 9912.17.05, 9912.17.40 (MA) See 9914.17.05, 9914.17.40 (BH) See 9916.17.05, 9916.17.40 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|25.5¢/kg|<desc> See subheadings 9904.18.01-9904.18.08.
||2|Containing 65 percent or more but less than 90 percent by dry weight of sugar:|||||
1806.10.22|00|3|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|10%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
||3|Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:|||||
1806.10.24|00|4|Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions|kg|10%|Free (CO,OM,PA,PE) 6% (KR)|20%|
1806.10.28|00|4|Other|kg|33.6¢/kg|Free (JO,MX) 26.8¢/kg (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.45 (SG) See 9911.17.05, 9911.17.45 (CL) See 9912.17.05, 9912.17.45 (MA) See 9914.17.05, 9914.17.45 (BH) See 9916.17.05, 9916.17.45 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|39.5¢/kg|<desc> See subheadings 9904.17.17-9904.17.48.
||3|Other:|||||
1806.10.34|00|4|Described in additional U.S. note 1 to this chapter and entered pursuant to its provisions|kg|10%|Free (A,BH,CA,CL,CO,E,IL,J,JO,MA,OM,P,PA,PE,SG) 6% (KR)|20%|
1806.10.38|00|4|Other|kg|33.6¢/kg|Free (JO,MX) 26.8¢/kg (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.45 (SG) See 9911.17.05, 9911.17.45 (CL) See 9912.17.05, 9912.17.45 (MA) See 9914.17.05, 9914.17.45 (BH) See 9916.17.05, 9916.17.45 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|39.5¢/kg|<desc> See subheadings 9904.18.01-9904.18.08.
||2|Containing 90 percent or more by dry weight of sugar:|||||
1806.10.43|00|3|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|10%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
||3|Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:|||||
1806.10.45|00|4|Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions|kg|10%|Free (CO,OM,PA,PE) 6% (KR)|20%|
1806.10.55|00|4|Other|kg|33.6¢/kg|Free (JO,MX) 26.8¢/kg (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.45 (SG) See 9911.17.05, 9911.17.45 (CL) See 9912.17.05, 9912.17.45 (MA) See 9914.17.05, 9914.17.45 (BH) See 9916.17.05, 9916.17.45 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|39.5¢/kg|<desc> See subheadings 9904.17.17-9904.17.48.
||3|Other:|||||
1806.10.65|00|4|Described in additional U.S. note 1 to this chapter and entered pursuant to its provisions|kg|10%|Free (A*,BH,CA,CL,CO,E,IL,J,JO,MA,OM,P,PA,PE,SG) 6% (KR)|20%|
1806.10.75|00|4|Other|kg|33.6¢/kg|Free (JO,MX) 26.8¢/kg (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.45 (SG) See 9911.17.05, 9911.17.45 (CL) See 9912.17.05, 9912.17.45 (MA) See 9914.17.05, 9914.17.45 (BH) See 9916.17.05, 9916.17.45 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|39.5¢/kg|<desc> See subheadings 9904.18.01-9904.18.08.
1806.20||1|Other preparations in blocks, slabs or bars, weighing more than 2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2 kg:|||||
||2|Preparations consisting wholly of ground cocoa beans, with or without added cocoa fat, flavoring or emulsifying agents, and containing not more than 32 percentby weight of butterfat or other milk solids and not more than 60 percent by weight of sugar:|||||
1806.20.20||3|In blocks or slabs weighing 4.5 kg or more each||Free||8.8¢/kg|
1806.20.20|10|4|Not containing butterfat or other milk solids|kg||||
1806.20.20|90|4|Containing butterfat or other milk solids|kg kg cmsc||||
||3|Other:|||||
||4|Containing butterfat or other milk solids (excluding articles for consumption at retail as candy or confection):|||||
1806.20.22|00|5|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|5%|Free (A*,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
||5|Other, containing over 5.5 percent by weight of butterfat:|||||
1806.20.24|00|6|Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions|kg kg cmsc|5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,OM,P,PA,PE,SG) 3% (KR)|40%|
||6|Other:|||||
1806.20.26|00|7|Containing less than 21 percent by weight of milk solids|kg kg cmsc|37.2¢/kg + 4.3%|Free (JO,MX) 24.8¢/kg + 2.8% (PE) 29.7¢/kg + 3.4% (KR) 32.2¢/kg + 3.7% (CO) 32.2¢/kg + 3.7% (PA) 37.2¢/kg+ 4.3%(P) (s) See 9910.04.50, 9910.04.62 (SG) See 9911.04.30, 9911.04.40 (CL) See 9912.04.30, 9912.04.42 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.42 (BH) See 9915.04.30, 9915.04.42, 9915.04.66 (P+) See 9916.04.30, 9916.04.42 (OM)|43.8¢/kg + 5%|<desc> See subheadings 9904.18.09-9904.18.18.
1806.20.28|00|7|Other|kg kg cmsc|52.8¢/kg + 4.3%|Free (JO,MX) 35.2¢/kg + 2.8% (PE) 42.2¢/kg + 3.4% (KR) 45.7¢/kg + 3.7% (CO) 45.7¢/kg + 3.7% (PA) 52.8¢/kg + 4.3% (P)(s) See 9910.04.50, 9910.04.63 (SG) See 9911.04.30, 9911.04.41 (CL) See 9912.04.30, 9912.04.43 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.43 (BH) See 9915.04.30, 9915.04.43, 9915.04.67 (P+) See 9916.04.30, 9916.04.43 (OM)|62.1¢/kg + 5%|<desc> See subheadings 9904.18.09-9904.18.18.
||5|Other:|||||
1806.20.34|00|6|Described in additional U.S. note 3 to this chapter and entered pur- suant to its provisions|kg kg cmsc|5%|Free (A,BH,CA,CL,CO,E,IL,J,JO,MA,OM,P,PA,PE,SG) 3% (KR)|40%|
||6|Other:|||||
1806.20.36|00|7|Containing less than 21 percent by weight of milk solids|kg kg cmsc|37.2¢/kg + 4.3%|Free (JO,MX) 24.8¢/kg + 2.8% (PE) 29.7¢/kg + 3.4% (KR) 32.2¢/kg + 3.7% (CO) 32.2¢/kg + 3.7% (PA) 37.2¢/kg + 4.3%(P)(s) See 9910.04.50, 9910.04.62 (SG) See 9911.04.30, 9911.04.40 (CL) See 9912.04.30, 9912.04.42 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.42 (BH) See 9915.04.30, 9915.04.42, 9915.04.66 (P+) See 9916.04.30, 9916.04.42 (OM)|43.8¢/kg + 5%|<desc> See subheadings 9904.18.19-9904.18.30.
1806.20.38|00|7|Other|kg kg cmsc|52.8¢/kg + 4.3%|Free (JO,MX) 35.2¢/kg + 2.8% (PE) 42.2¢/kg + 3.4% (KR) 45.7¢/kg + 3.7% (CO) 45.7¢/kg + 3.7% (PA) 52.8¢/kg + 4.3% (P)(s) See 9910.04.50, 9910.04.63 (SG) See 9911.04.30, 9911.04.41 (CL) See 9912.04.30, 9912.04.43 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.43 (BH) See 9915.04.30, 9915.04.43, 9915.04.67 (P+) See 9916.04.30, 9916.04.43 (OM)|62.1¢/kg + 5%|<desc> See subheadings 9904.18.19-9904.18.30.
1806.20.50|00|4|Other|kg|4.3%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
1806.20.60|00|2|Confectioners' coatings and other products (except confectionery) containing by weight not less than 6.8 percent non-fat solids of the cocoa bean nib and not less than 15 percent of vegetable fats other than cocoa butter|kg|2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35%|
||2|Other:|||||
||3|Containing more than 65 percent by weight of sugar:|||||
1806.20.67|00|4|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|10%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 8% (KR)|20%|
||4|Other:|||||
||5|Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:|||||
1806.20.71|00|6|Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions|kg|10%|Free (CO,OM,PA,PE) 6% (KR)|20%|
1806.20.73|00|6|Other|kg|30.5¢/kg + 8.5%|Free (JO,MX) 24.4¢/kg + 6.8% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.50 (SG) See 9911.17.05, 9911.17.50 (CL) See 9912.17.05, 9912.17.50 (MA) See 9914.17.05, 9914.17.50 (BH) See 9916.17.05, 9916.17.50 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|35.9¢/kg + 10%|<desc> See subheadings 9904.17.17-9904.17.48.
||5|Articles containing over 10 percent by dry weight of sugar described in additional U.S. note 3 to chapter 17:|||||
1806.20.75|00|6|Described in additional U.S. note 8 to chapter 17 and entered pursuant to its provisions|kg|10%|Free (A,BH,CA,CL,CO,E,IL,J,JO,MA,OM,P,PA,PE,SG) 6% (KR)|20%|
1806.20.77|00|6|Other|kg|30.5¢/kg + 8.5%|Free (JO,MX) 24.4¢/kg + 6.8% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.50 (SG) See 9911.17.05, 9911.17.50 (CL) See 9912.17.05, 9912.17.50 (MA) See 9914.17.05, 9914.17.50 (BH) See 9916.17.05, 9916.17.50 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|35.9¢/kg + 10%|<desc> See subheadings 9904.17.49-9904.17.65.
1806.20.78|00|5|Other|kg|8.5%|Free (A,BH,CA,CL,CO,E,IL,J,JO,MA,P,MX,OM,PA,PE,SG) 0.8% (AU) 5.1% (KR)|20%|
||3|Other:|||||
1806.20.79|00|4|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|10%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 6% (KR)|20%|
||4|Other:|||||
||5|Dairy productsdescribed in additional U.S. note 1 to chapter 4:|||||
1806.20.81|00|6|Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions|kg kg cmsc|10%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,OM,P,PA,PE,SG) 6% (KR)|20%|
||6|Other:|||||
1806.20.82|00|7|Containing less than 21 percent by weight of milk solids|kg kg cmsc|37.2¢/kg + 8.5%|Free (JO,MX) 32.2¢/kg + 7.3% (PA) 37.2¢/kg + 8.5% (P)(s) See 9910.04.50, 9910.04.64 (SG) See 9920.04.10, 9920.04.20 (KR) See 9911.04.30, 9911.04.42 (CL) See 9912.04.30, 9912.04.44 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.44 (BH) See 9915.04.30, 9915.04.44, 9915.04.68 (P+) See 9916.04.30, 9916.04.44 (OM) See 9917.04.20, 9917.04.30 (PE) See 9918.04.60 9918.04.80 (CO)|43.8¢/kg + 10%|<desc> See subheadings 9904.04.50-9904.05.01.
1806.20.83|00|7|Other|kg kg cmsc|52.8¢/kg + 8.5%|Free (JO,MX) 45.7¢/kg + 7.3% (PA) 52.8¢/kg + 8.5% (P)(s) See 9910.04.50, 9910.04.65 (SG) See 9911.04.30, 9911.04.43 (CL) See 9920.04.10, 9920.04.21 (KR) See 9912.04.30, 9912.04.45 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.45 (BH) See 9915.04.30, 9915.04.45, 9915.04.69 (P+) See 9916.04.30, 9916.04.45 (OM) See 9917.04.20, 9917.04.31 (PE) See 9918.04.60 9918.04.80 (CO)|62.1¢/kg + 10%|<desc> See subheadings 9904.04.50-9904.05.01.
||5|Other, low fat chocolate crumb (excluding articles for consumption at retail as candy or confection):|||||
1806.20.85|00|6|Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions|kg kg cmsc|10%|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,MA,OM,P,PA,PE,SG) 6% (KR)|20%|
||6|Other:|||||
1806.20.87|00|7|Containing less than 21 percent by weight of milk solids|kg kg cmsc|37.2¢/kg + 8.5%|Free (JO,MX) 24.8¢/kg + 5.6% (PE) 29.7¢/kg + 6.8% (KR) 32.2¢/kg + 7.3% (CO) 32.2¢/kg + 7.3% (PA) 37.2¢/kg + 8.5% (P)(s) See 9910.04.50, 9910.04.64 (SG) See 9911.04.30, 9911.04.42 (CL) See 9912.04.30, 9912.04.44 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.44 (BH) See 9915.04.30, 9915.04.44, 9915.04.68 (P+) See 9916.04.30, 9916.04.44 (OM)|43.8¢/kg + 10%|<desc> See subheadings 9904.18.19-9904.18.30.
1806.20.89|00|7|Other|kg kg cmsc|52.8¢/kg + 8.5%|Free (JO,MX) 35.2¢/kg + 5.6% (PE) 42.2¢/kg + 6.8% (KR) 45.7¢/kg + 7.3% (CO) 45.7¢/kg + 7.3% (PA) 52.8¢/kg + 8.5% (P)(s) See 9910.04.50, 9910.04.65 (SG) See 9911.04.30, 9911.04.43 (CL) See 9912.04.30, 9912.04.45 (MA) See 9913.04.25 (AU) See 9914.04.30, 9914.04.45 (BH) See 9915.04.30, 9915.04.45, 9915.04.69 (P+) See 9916.04.30, 9916.04.45 (OM)|62.1¢/kg + 10%|<desc> See subheadings 9904.18.19-9904.18.30.
||5|Other:|||||
||6|Blended syrups described in additional U.S. note 4 to chapter 17:|||||
1806.20.91|00|7|Described in additional U.S. note 9 to chapter 17 and entered pursuant to its provisions|kg|10%|Free (CO,OM,PA,PE) 6% (KR)|20%|
1806.20.94|00|7|Other|kg|37.2¢/kg + 8.5%|Free (JO,MX) 29.7¢/kg + 6.8% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.55 (SG) See 9911.17.05, 9911.17.55 (CL) See 9912.17.05, 9912.17.55 (MA) See 9914.17.05, 9914.17.55 (BH) See 9916.17.05, 9916.17.55 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|43.8¢/kg + 10%|<desc> See subheadings 9904.17.66-9904.17.84.
||6|Articles containing over 10 percent by dryweight of sugar described in additional U.S. note 3 to chapter 17:|||||
1806.20.95|00|7|Described in additional U.S. note 8to chapter 17 and entered pursuant to its provisions|kg|10%|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,MA,OM,P,PA,PE,SG) 6% (KR)|20%|
1806.20.98|00|7|Other|kg|37.2¢/kg + 8.5%|Free (JO,MX) 29.7¢/kg + 6.8% (KR) See 9822.05.20 (P+) See 9822.09.17 (PA) See 9910.17.05, 9910.17.55 (SG) See 9911.17.05, 9911.17.55 (CL) See 9912.17.05, 9912.17.55 (MA) See 9914.17.05, 9914.17.55 (BH) See 9916.17.05, 9916.17.55 (OM) See 9822.08.01 (CO) See 9822.06.10 (PE)|43.8¢/kg + 10%|<desc> See subheadings 9904.17.49-9904.17.65.
1806.20.99|00|6|Other|kg|8.5%|Free (A+,BH,CA,CL,CO,D,E,IL,J,JO,MX,OM,P,PA,PE,SG) 2.8% (MA) 4.2% (AU) 5.1% (KR)|20%|
||1|Other, in blocks, slabs or bars:|||||
1806.31.00||2|Filled||5.6%|Free (A,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 0.5% (AU) 3.3% (KR)|40%|
||3|Confectionery:|||||
1806.31.00|41|4|Containing peanuts, peanut butter or peanut paste|kg||||
1806.31.00|49|4|Other|kg||||
1806.31.00|80|3|Other|kg||||
1806.32||2|Not filled:|||||
||3|Preparations consisting wholly of ground cocoa beans, with orwithout added cocoa fat, flavoring or emulsifying agents, and containing not more than 32 percent by weight of butterfat or other milk solids and not more than 60 percent by weight of sugar:|||||
||4|Containing butterfat or other milk solids (ex- cluding articles for consumption at retail as candy or confection):|||||
1806.32.01|00|5|Described in general note 15 of the tariff schedule and entered pursuant to its provisions|kg|5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
||5|Other, containing over 5.5 percent by weight of butterfat:|||||
1806.32.04|00|6|Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions|kg kg cmsc|5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,OM,P,PA,PE,SG) 3% (KR)|40%|
||6|Other:|||||
